ai_X_level,ai_O_level,starting_player,winner,moves,duration_s
1,1,X,X,7,0.000134
1,1,X,O,6,0.000070
1,1,X,X,7,0.000026
1,1,X,X,9,0.000047
1,1,X,X,7,0.000030
1,1,X,O,6,0.000051
1,1,X,X,7,0.000100
1,1,X,O,8,0.000052
1,1,X,X,7,0.000114
1,1,X,X,7,0.000075
1,1,X,X,7,0.000026
1,1,X,O,6,0.000023
1,1,X,X,7,0.000053
1,1,X,Tie,9,0.000093
1,1,X,X,7,0.000262
1,1,X,O,6,0.000024
1,1,X,O,6,0.000056
1,1,X,X,9,0.000041
1,1,X,Tie,9,0.000091
1,1,X,X,5,0.000077
1,1,X,O,6,0.000045
1,1,X,O,6,0.000079
1,1,X,O,8,0.000095
1,1,X,X,9,0.000059
1,1,X,X,9,0.000040
1,1,X,O,6,0.000018
1,1,X,O,8,0.000148
1,1,X,X,9,0.000061
1,1,X,X,7,0.000127
1,1,X,X,9,0.000043
1,1,X,O,6,0.000019
1,1,X,X,7,0.000061
1,1,X,X,9,0.000040
1,1,X,O,6,0.000024
1,1,X,X,7,0.000086
1,1,X,X,7,0.000109
1,1,X,X,5,0.000020
1,1,X,X,7,0.000088
1,1,X,Tie,9,0.000059
1,1,X,X,7,0.000059
1,1,X,O,8,0.000042
1,1,X,X,9,0.000106
1,1,X,X,7,0.000084
1,1,X,X,9,0.000041
1,1,X,X,5,0.000012
1,1,X,Tie,9,0.000075
1,1,X,Tie,9,0.000054
1,1,X,X,5,0.000022
1,1,X,X,9,0.000032
1,1,X,O,8,0.000037
1,1,X,X,7,0.000034
1,1,X,O,6,0.000020
1,1,X,X,7,0.000030
1,1,X,X,7,0.000027
1,1,X,X,5,0.000021
1,1,X,X,9,0.000044
1,1,X,X,9,0.000032
1,1,X,O,6,0.000026
1,1,X,X,9,0.000039
1,1,X,X,7,0.000025
1,1,X,O,8,0.000030
1,1,X,X,5,0.000025
1,1,X,X,9,0.000048
1,1,X,X,5,0.000017
1,1,X,Tie,9,0.000046
1,1,X,O,8,0.000028
1,1,X,X,7,0.000032
1,1,X,X,7,0.000023
1,1,X,X,5,0.000015
1,1,X,X,5,0.000021
1,1,X,O,6,0.000018
1,1,X,X,7,0.000029
1,1,X,X,9,0.000043
1,1,X,Tie,9,0.000043
1,1,X,X,9,0.000040
1,1,X,X,9,0.000039
1,1,X,X,9,0.000036
1,1,X,O,8,0.000040
1,1,X,X,7,0.000045
1,1,X,Tie,9,0.000044
1,1,X,X,9,0.000074
1,1,X,X,7,0.000031
1,1,X,O,8,0.000039
1,1,X,X,7,0.000093
1,1,X,Tie,9,0.000056
1,1,X,X,9,0.000037
1,1,X,O,8,0.000040
1,1,X,O,8,0.000052
1,1,X,Tie,9,0.000054
1,1,X,Tie,9,0.000038
1,1,X,O,6,0.000023
1,1,X,X,9,0.000032
1,1,X,X,9,0.000036
1,1,X,Tie,9,0.000041
1,1,X,X,7,0.000026
1,1,X,Tie,9,0.000036
1,1,X,O,8,0.000029
1,1,X,X,7,0.000028
1,1,X,X,9,0.000045
1,1,X,X,7,0.000028
1,1,X,Tie,9,0.000055
1,1,X,X,7,0.000024
1,1,X,O,6,0.000027
1,1,X,O,6,0.000020
1,1,X,O,8,0.000051
1,1,X,Tie,9,0.000047
1,1,X,X,9,0.000042
1,1,X,X,9,0.000038
1,1,X,X,9,0.000066
1,1,X,X,5,0.000016
1,1,X,O,8,0.000029
1,1,X,Tie,9,0.000053
1,1,X,O,8,0.000060
1,1,X,O,8,0.000027
1,1,X,O,8,0.000034
1,1,X,O,8,0.000028
1,1,X,O,8,0.000044
1,1,X,O,8,0.000036
1,1,X,X,9,0.000034
1,1,X,X,9,0.000049
1,1,X,X,7,0.000027
1,1,X,O,8,0.000038
1,1,X,X,7,0.000030
1,1,X,X,7,0.000024
1,1,X,Tie,9,0.000037
1,1,X,X,9,0.000036
1,1,X,X,5,0.000016
1,1,X,X,7,0.000029
1,1,X,X,7,0.000025
1,1,X,X,7,0.000024
1,1,X,Tie,9,0.000055
1,1,X,X,9,0.000047
1,1,X,Tie,9,0.000048
1,1,X,X,9,0.000049
1,1,X,O,8,0.000038
1,1,X,X,5,0.000014
1,1,X,X,7,0.000025
1,1,X,O,6,0.000021
1,1,X,X,9,0.000046
1,1,X,O,8,0.000047
1,1,X,X,7,0.000027
1,1,X,X,9,0.000033
1,1,X,O,6,0.000019
1,1,X,X,9,0.000040
1,1,X,X,7,0.000034
1,1,X,X,7,0.000028
1,1,X,O,8,0.000036
1,1,X,O,8,0.000033
1,1,X,X,5,0.000016
1,1,X,O,8,0.000038
1,1,O,O,7,0.000027
1,1,O,O,9,0.000042
1,1,O,O,9,0.000033
1,1,O,O,9,0.000034
1,1,O,X,6,0.000027
1,1,O,O,5,0.000021
1,1,O,O,9,0.000041
1,1,O,O,7,0.000028
1,1,O,O,7,0.000034
1,1,O,O,9,0.000043
1,1,O,O,7,0.000029
1,1,O,X,8,0.000065
1,1,O,O,7,0.000032
1,1,O,X,6,0.000023
1,1,O,X,6,0.000028
1,1,O,O,9,0.000044
1,1,O,O,7,0.000033
1,1,O,O,9,0.000045
1,1,O,X,8,0.000029
1,1,O,X,8,0.000036
1,1,O,X,6,0.000024
1,1,O,X,8,0.000033
1,1,O,O,5,0.000015
1,1,O,O,7,0.000031
1,1,O,X,8,0.000046
1,1,O,X,8,0.000030
1,1,O,O,7,0.000036
1,1,O,Tie,9,0.000039
1,1,O,O,7,0.000035
1,1,O,O,7,0.000028
1,1,O,Tie,9,0.000037
1,1,O,O,9,0.000039
1,1,O,X,6,0.000028
1,1,O,O,5,0.000020
1,1,O,X,8,0.000033
1,1,O,X,6,0.000028
1,1,O,O,7,0.000044
1,1,O,O,7,0.000029
1,1,O,X,6,0.000024
1,1,O,Tie,9,0.000050
1,1,O,X,6,0.000023
1,1,O,O,9,0.000053
1,1,O,O,9,0.000043
1,1,O,O,5,0.000018
1,1,O,X,8,0.000035
1,1,O,X,6,0.000024
1,1,O,O,9,0.000037
1,1,O,Tie,9,0.000049
1,1,O,O,7,0.000028
1,1,O,O,7,0.000030
1,1,O,X,8,0.000038
1,1,O,Tie,9,0.000050
1,1,O,Tie,9,0.000080
1,1,O,X,6,0.000020
1,1,O,X,8,0.000035
1,1,O,O,9,0.000037
1,1,O,O,9,0.000045
1,1,O,O,9,0.000042
1,1,O,O,7,0.000025
1,1,O,O,9,0.000043
1,1,O,X,8,0.000027
1,1,O,O,7,0.000033
1,1,O,O,7,0.000060
1,1,O,Tie,9,0.000035
1,1,O,O,7,0.000034
1,1,O,X,6,0.000029
1,1,O,Tie,9,0.000049
1,1,O,O,5,0.000019
1,1,O,O,7,0.000031
1,1,O,O,7,0.000026
1,1,O,O,9,0.000036
1,1,O,O,7,0.000030
1,1,O,O,9,0.000045
1,1,O,X,8,0.000037
1,1,O,O,9,0.000038
1,1,O,X,8,0.000040
1,1,O,X,8,0.000033
1,1,O,X,6,0.000024
1,1,O,O,9,0.000061
1,1,O,X,8,0.000054
1,1,O,X,6,0.000021
1,1,O,O,9,0.000034
1,1,O,X,8,0.000037
1,1,O,Tie,9,0.000046
1,1,O,X,8,0.000031
1,1,O,O,7,0.000024
1,1,O,Tie,9,0.000051
1,1,O,X,6,0.000021
1,1,O,O,5,0.000016
1,1,O,Tie,9,0.000053
1,1,O,X,8,0.000037
1,1,O,O,9,0.000065
1,1,O,X,8,0.000057
1,1,O,X,6,0.000025
1,1,O,X,8,0.000040
1,1,O,O,7,0.000029
1,1,O,O,9,0.000039
1,1,O,X,8,0.000043
1,1,O,X,8,0.000037
1,1,O,O,9,0.000039
1,1,O,Tie,9,0.000040
1,1,O,O,7,0.000050
1,1,O,O,5,0.000022
1,1,O,O,7,0.000028
1,1,O,O,9,0.000050
1,1,O,O,7,0.000027
1,1,O,O,5,0.000034
1,1,O,O,9,0.000048
1,1,O,X,8,0.000035
1,1,O,O,7,0.000035
1,1,O,X,8,0.000041
1,1,O,Tie,9,0.000043
1,1,O,O,7,0.000035
1,1,O,Tie,9,0.000044
1,1,O,O,7,0.000038
1,1,O,O,5,0.000017
1,1,O,X,8,0.000041
1,1,O,O,9,0.000039
1,1,O,O,7,0.000029
1,1,O,O,9,0.000052
1,1,O,Tie,9,0.000050
1,1,O,O,9,0.000043
1,1,O,O,5,0.000018
1,1,O,Tie,9,0.000051
1,1,O,X,8,0.000036
1,1,O,Tie,9,0.000044
1,1,O,O,9,0.000049
1,1,O,Tie,9,0.000084
1,1,O,X,6,0.000019
1,1,O,X,6,0.000039
1,1,O,X,8,0.000052
1,1,O,O,9,0.000043
1,1,O,Tie,9,0.000051
1,1,O,X,6,0.000024
1,1,O,X,6,0.000022
1,1,O,O,9,0.000043
1,1,O,Tie,9,0.000040
1,1,O,X,8,0.000041
1,1,O,O,7,0.000029
1,1,O,Tie,9,0.000053
1,1,O,X,8,0.000041
1,1,O,X,8,0.000035
1,1,O,O,7,0.000040
1,1,O,O,7,0.000022
1,1,O,O,7,0.000043
1,1,O,O,5,0.000016
1,1,O,Tie,9,0.000043
1,1,O,Tie,9,0.000054
1,1,O,O,9,0.000046
1,1,O,X,6,0.000026
1,2,X,Tie,9,0.000161
1,2,X,O,6,0.000086
1,2,X,O,6,0.000095
1,2,X,O,6,0.000059
1,2,X,O,6,0.000075
1,2,X,O,6,0.000080
1,2,X,O,6,0.000058
1,2,X,O,6,0.000073
1,2,X,O,6,0.000063
1,2,X,O,6,0.000085
1,2,X,O,8,0.000111
1,2,X,O,6,0.000075
1,2,X,O,6,0.000057
1,2,X,O,6,0.000067
1,2,X,O,6,0.000088
1,2,X,O,6,0.000120
1,2,X,O,6,0.000078
1,2,X,O,6,0.000083
1,2,X,O,6,0.000068
1,2,X,O,6,0.000073
1,2,X,O,6,0.000063
1,2,X,O,6,0.000066
1,2,X,O,6,0.000072
1,2,X,O,6,0.000074
1,2,X,O,6,0.000070
1,2,X,O,6,0.000108
1,2,X,Tie,9,0.000114
1,2,X,O,6,0.000069
1,2,X,O,6,0.000071
1,2,X,O,6,0.000083
1,2,X,Tie,9,0.000104
1,2,X,O,6,0.000113
1,2,X,O,8,0.000088
1,2,X,O,6,0.000086
1,2,X,Tie,9,0.000117
1,2,X,O,6,0.000063
1,2,X,O,6,0.000091
1,2,X,O,6,0.000113
1,2,X,O,6,0.000077
1,2,X,O,6,0.000062
1,2,X,Tie,9,0.000129
1,2,X,O,8,0.000089
1,2,X,O,6,0.000066
1,2,X,O,6,0.000069
1,2,X,O,8,0.000143
1,2,X,O,6,0.000060
1,2,X,O,6,0.000059
1,2,X,O,6,0.000055
1,2,X,O,8,0.000104
1,2,X,O,6,0.000115
1,2,X,O,6,0.000060
1,2,X,O,6,0.000094
1,2,X,O,6,0.000081
1,2,X,O,6,0.000088
1,2,X,O,6,0.000086
1,2,X,Tie,9,0.000137
1,2,X,O,6,0.000150
1,2,X,O,6,0.000098
1,2,X,Tie,9,0.000116
1,2,X,O,6,0.000078
1,2,X,O,8,0.000095
1,2,X,O,6,0.000078
1,2,X,O,6,0.000137
1,2,X,O,8,0.000094
1,2,X,O,6,0.000065
1,2,X,O,8,0.000092
1,2,X,X,7,0.000116
1,2,X,X,7,0.000093
1,2,X,Tie,9,0.000145
1,2,X,O,6,0.000072
1,2,X,O,6,0.000095
1,2,X,Tie,9,0.000134
1,2,X,O,6,0.000110
1,2,X,O,6,0.000089
1,2,X,O,8,0.000100
1,2,X,O,6,0.000067
1,2,X,O,6,0.000076
1,2,X,O,8,0.000094
1,2,X,O,6,0.000070
1,2,X,Tie,9,0.000168
1,2,X,O,6,0.000081
1,2,X,O,6,0.000074
1,2,X,O,6,0.000065
1,2,X,O,8,0.000116
1,2,X,O,6,0.000147
1,2,X,O,8,0.000095
1,2,X,O,8,0.000116
1,2,X,Tie,9,0.000102
1,2,X,O,6,0.000080
1,2,X,O,6,0.000104
1,2,X,O,6,0.000093
1,2,X,O,8,0.000092
1,2,X,O,6,0.000074
1,2,X,O,6,0.000076
1,2,X,O,8,0.000114
1,2,X,O,6,0.000114
1,2,X,O,8,0.000096
1,2,X,O,6,0.000065
1,2,X,Tie,9,0.000130
1,2,X,O,6,0.000093
1,2,X,O,6,0.000080
1,2,X,O,6,0.000113
1,2,X,Tie,9,0.000109
1,2,X,O,6,0.000077
1,2,X,O,8,0.000107
1,2,X,O,6,0.000075
1,2,X,O,6,0.000132
1,2,X,O,8,0.000093
1,2,X,O,6,0.000058
1,2,X,O,6,0.000089
1,2,X,O,6,0.000089
1,2,X,O,8,0.000098
1,2,X,O,6,0.000112
1,2,X,Tie,9,0.000112
1,2,X,Tie,9,0.000118
1,2,X,O,6,0.000066
1,2,X,O,8,0.000111
1,2,X,O,6,0.000122
1,2,X,O,6,0.000091
1,2,X,O,6,0.000095
1,2,X,O,6,0.000077
1,2,X,O,6,0.000078
1,2,X,Tie,9,0.000139
1,2,X,O,6,0.000099
1,2,X,O,6,0.000065
1,2,X,Tie,9,0.000110
1,2,X,O,6,0.000070
1,2,X,O,6,0.000111
1,2,X,O,6,0.000098
1,2,X,O,6,0.000112
1,2,X,O,8,0.000110
1,2,X,O,6,0.000099
1,2,X,O,6,0.000060
1,2,X,O,6,0.000073
1,2,X,O,6,0.000106
1,2,X,O,6,0.000061
1,2,X,O,6,0.000095
1,2,X,O,8,0.000102
1,2,X,Tie,9,0.000113
1,2,X,O,6,0.000075
1,2,X,O,8,0.000109
1,2,X,O,8,0.000085
1,2,X,O,6,0.000071
1,2,X,O,6,0.000076
1,2,X,O,6,0.000065
1,2,X,O,6,0.000088
1,2,X,O,6,0.000075
1,2,X,O,8,0.000143
1,2,X,O,6,0.000066
1,2,X,O,8,0.000087
1,2,O,O,5,0.000066
1,2,O,O,5,0.000066
1,2,O,O,7,0.000095
1,2,O,O,5,0.000087
1,2,O,O,5,0.000104
1,2,O,O,5,0.000069
1,2,O,Tie,9,0.000158
1,2,O,O,5,0.000070
1,2,O,O,7,0.000118
1,2,O,O,5,0.000101
1,2,O,O,5,0.000076
1,2,O,O,5,0.000083
1,2,O,O,5,0.000066
1,2,O,O,7,0.000108
1,2,O,O,5,0.000084
1,2,O,O,7,0.000138
1,2,O,O,5,0.000055
1,2,O,O,7,0.000098
1,2,O,O,5,0.000084
1,2,O,O,5,0.000095
1,2,O,O,5,0.000078
1,2,O,O,7,0.000114
1,2,O,O,5,0.000087
1,2,O,O,7,0.000095
1,2,O,Tie,9,0.000148
1,2,O,O,5,0.000061
1,2,O,O,5,0.000098
1,2,O,O,5,0.000083
1,2,O,O,5,0.000084
1,2,O,O,5,0.000065
1,2,O,O,5,0.000054
1,2,O,O,5,0.000056
1,2,O,O,5,0.000056
1,2,O,O,5,0.000086
1,2,O,O,7,0.000138
1,2,O,O,5,0.000089
1,2,O,O,5,0.000062
1,2,O,O,5,0.000082
1,2,O,O,5,0.000065
1,2,O,O,5,0.000097
1,2,O,O,5,0.000110
1,2,O,O,5,0.000076
1,2,O,O,5,0.000082
1,2,O,O,7,0.000108
1,2,O,O,5,0.000063
1,2,O,O,5,0.000075
1,2,O,O,7,0.000137
1,2,O,O,7,0.000119
1,2,O,O,7,0.000094
1,2,O,O,5,0.000076
1,2,O,O,5,0.000076
1,2,O,O,7,0.000094
1,2,O,O,5,0.000083
1,2,O,O,5,0.000099
1,2,O,O,5,0.000064
1,2,O,O,7,0.000100
1,2,O,O,7,0.000087
1,2,O,Tie,9,0.000152
1,2,O,O,5,0.000101
1,2,O,O,5,0.000060
1,2,O,O,5,0.000065
1,2,O,O,7,0.000085
1,2,O,O,5,0.000108
1,2,O,O,7,0.000095
1,2,O,Tie,9,0.000140
1,2,O,O,7,0.000096
1,2,O,O,7,0.000091
1,2,O,O,7,0.000114
1,2,O,O,7,0.000141
1,2,O,O,5,0.000061
1,2,O,O,7,0.000090
1,2,O,O,5,0.000062
1,2,O,O,5,0.000058
1,2,O,O,7,0.000105
1,2,O,O,5,0.000071
1,2,O,O,5,0.000102
1,2,O,O,7,0.000105
1,2,O,Tie,9,0.000133
1,2,O,O,7,0.000085
1,2,O,O,5,0.000060
1,2,O,O,7,0.000100
1,2,O,O,7,0.000103
1,2,O,Tie,9,0.000132
1,2,O,O,5,0.000071
1,2,O,O,7,0.000079
1,2,O,O,5,0.000062
1,2,O,O,5,0.000076
1,2,O,O,5,0.000062
1,2,O,O,7,0.000130
1,2,O,O,5,0.000062
1,2,O,O,5,0.000057
1,2,O,O,7,0.000090
1,2,O,O,7,0.000098
1,2,O,O,5,0.000052
1,2,O,O,5,0.000072
1,2,O,O,5,0.000053
1,2,O,O,7,0.000137
1,2,O,O,5,0.000065
1,2,O,O,7,0.000098
1,2,O,O,7,0.000086
1,2,O,O,7,0.000123
1,2,O,O,5,0.000062
1,2,O,O,5,0.000111
1,2,O,O,5,0.000053
1,2,O,O,7,0.000099
1,2,O,O,5,0.000066
1,2,O,O,5,0.000064
1,2,O,O,5,0.000081
1,2,O,O,5,0.000064
1,2,O,O,5,0.000082
1,2,O,O,5,0.000061
1,2,O,O,5,0.000056
1,2,O,O,5,0.000055
1,2,O,O,7,0.000109
1,2,O,O,5,0.000067
1,2,O,O,7,0.000092
1,2,O,O,7,0.000162
1,2,O,O,5,0.000084
1,2,O,O,5,0.000083
1,2,O,O,5,0.000070
1,2,O,O,5,0.000079
1,2,O,O,5,0.000063
1,2,O,O,7,0.000126
1,2,O,O,5,0.000062
1,2,O,O,5,0.000056
1,2,O,O,5,0.000081
1,2,O,O,7,0.000108
1,2,O,O,5,0.000104
1,2,O,O,5,0.000065
1,2,O,O,5,0.000094
1,2,O,O,5,0.000101
1,2,O,O,5,0.000064
1,2,O,O,5,0.000066
1,2,O,O,5,0.000084
1,2,O,O,5,0.000096
1,2,O,O,7,0.000097
1,2,O,Tie,9,0.000180
1,2,O,O,5,0.000060
1,2,O,O,7,0.000104
1,2,O,O,7,0.000118
1,2,O,O,5,0.000061
1,2,O,O,7,0.000131
1,2,O,O,7,0.000100
1,2,O,O,5,0.000061
1,2,O,Tie,9,0.000137
1,2,O,O,5,0.000078
1,2,O,O,5,0.000060
1,2,O,O,5,0.000104
1,2,O,O,5,0.000067
1,2,O,O,5,0.000068
1,3,X,Tie,9,0.014497
1,3,X,Tie,9,0.031145
1,3,X,Tie,9,0.024712
1,3,X,O,6,0.021421
1,3,X,O,8,0.033396
1,3,X,O,8,0.024676
1,3,X,O,8,0.020125
1,3,X,O,6,0.049660
1,3,X,O,8,0.041358
1,3,X,O,6,0.024674
1,3,X,O,8,0.028509
1,3,X,O,6,0.026596
1,3,X,O,6,0.025158
1,3,X,O,8,0.020523
1,3,X,O,6,0.025997
1,3,X,O,6,0.014971
1,3,X,O,6,0.024968
1,3,X,Tie,9,0.019081
1,3,X,Tie,9,0.015980
1,3,X,O,8,0.055310
1,3,X,O,8,0.032426
1,3,X,O,8,0.023662
1,3,X,O,8,0.014723
1,3,X,O,8,0.021186
1,3,X,O,6,0.024678
1,3,X,O,6,0.023756
1,3,X,Tie,9,0.025129
1,3,X,O,8,0.022225
1,3,X,O,6,0.020832
1,3,X,O,8,0.024915
1,3,X,O,6,0.076533
1,3,X,O,8,0.033644
1,3,X,O,6,0.021676
1,3,X,O,8,0.020782
1,3,X,Tie,9,0.023158
1,3,X,O,6,0.022488
1,3,X,O,6,0.022399
1,3,X,O,8,0.016518
1,3,X,O,6,0.021854
1,3,X,O,6,0.015993
1,3,X,Tie,9,0.067493
1,3,X,O,8,0.025873
1,3,X,O,8,0.022603
1,3,X,O,8,0.024602
1,3,X,O,6,0.023815
1,3,X,O,8,0.014850
1,3,X,O,8,0.020055
1,3,X,O,6,0.024910
1,3,X,O,6,0.025376
1,3,X,Tie,9,0.034527
1,3,X,O,8,0.023213
1,3,X,O,8,0.040321
1,3,X,Tie,9,0.047818
1,3,X,O,6,0.015094
1,3,X,O,8,0.023137
1,3,X,O,8,0.023649
1,3,X,O,6,0.030839
1,3,X,O,8,0.031699
1,3,X,O,8,0.024775
1,3,X,Tie,9,0.024325
1,3,X,Tie,9,0.021161
1,3,X,Tie,9,0.019890
1,3,X,Tie,9,0.061547
1,3,X,O,8,0.021761
1,3,X,O,8,0.022541
1,3,X,Tie,9,0.015516
1,3,X,O,6,0.025562
1,3,X,O,6,0.024366
1,3,X,O,6,0.023928
1,3,X,O,8,0.021134
1,3,X,O,8,0.016194
1,3,X,O,8,0.022572
1,3,X,Tie,9,0.034484
1,3,X,O,8,0.068870
1,3,X,O,6,0.033840
1,3,X,Tie,9,0.059947
1,3,X,O,6,0.047190
1,3,X,O,8,0.022153
1,3,X,O,8,0.024550
1,3,X,O,8,0.024385
1,3,X,O,6,0.019290
1,3,X,Tie,9,0.071312
1,3,X,O,8,0.035292
1,3,X,O,6,0.031868
1,3,X,O,8,0.021008
1,3,X,O,6,0.020455
1,3,X,O,8,0.031469
1,3,X,O,6,0.024109
1,3,X,O,8,0.024416
1,3,X,O,8,0.022467
1,3,X,O,8,0.025180
1,3,X,O,6,0.063624
1,3,X,Tie,9,0.024715
1,3,X,O,8,0.023791
1,3,X,O,6,0.013775
1,3,X,O,6,0.025016
1,3,X,O,6,0.024373
